,Name,Tags,Type,Source Zone,Source Address,Source User,Source Device,Destination Zone,Destination Address,Destination Device,Application,Service,Action,Profile,Options,Rule Usage Hit Count,Rule Usage Last Hit,Rule Usage First Hit,Rule Usage Apps Seen,Days With No New Apps,Modified,Created
28,Block NetBios TFTP and Telnet,none,universal,Not-Lab,any,any,any,Lab,any,any,netbios-dg;netbios-ns;netbios-ss;telnet;tftp,TCP 23;TCP 137;TCP 138;TCP 139;UDP 137;UDP 138;UDP 139,Deny,none,Traffic log sent at session end,150944,8/15/22 17:23,9/25/21 22:04,-,-,9/9/21 14:14,9/9/21 14:14
29,Java JMX,none,universal,any,any,any,any,any,10.185.23.99;10.190.197.85,any,any,TCP 9999;TCP 10000,Deny,none,Traffic log sent at session end,160,4/3/22 19:07,9/26/21 17:29,-,-,9/9/21 14:14,9/9/21 14:14
30,Java 1099,none,universal,Not-Lab,any,any,any,any,10.190.197.73;10.190.202.6,any,any,TCP 1099,Deny,none,Traffic log sent at session end,165,8/15/22 3:44,10/3/21 15:52,-,-,9/9/21 14:14,9/9/21 14:14
31,SMB,none,universal,any,[Negate]  10.0.0.0/8,any,any,Lab,[Negate]  10.190.199.31;[Negate]  10.190.199.110,any,ms-ds-smb,TCP 139;TCP 445,Deny,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
32,NFS,none,universal,Not-Lab,any,any,any,Lab,10.185.21.83;10.185.21.224;10.190.151.3;10.190.173.100;10.190.215.11;10.190.239.91;10.190.240.0/22,any,any,TCP 2049;UDP 2049,Deny,none,Traffic log sent at session end,63398,8/15/22 4:18,9/25/21 22:02,-,-,2/7/22 13:10,9/9/21 14:14
33,Block Echo,none,universal,any,any,any,any,any,10.185.23.110,any,echo,TCP 7-8;UDP,Deny,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
34,Observium,none,universal,Not-Lab,10.61.54.0/23,any,any,Lab,10.190.239.0/24;10.190.254.128/25,any,snmp;snmp-trap,UDP 161,Allow,none,Traffic log sent at session end,49043325,7/4/22 12:16,10/26/21 14:34,3,294,1/24/22 14:37,10/26/21 14:25
35,SNMP,none,universal,Not-Lab,[Negate]  10.0.0.0/8;[Negate]  10.190.0.0/16,any,any,any,[Negate]  10.190.45.80;[Negate]  10.190.237.30;[Negate]  10.190.254.131;[Negate]  10.190.254.148,any,snmp;snmp-trap,UDP 161;UDP 162,Deny,none,Traffic log sent at session end,164430,11/1/21 9:02,9/24/21 12:32,-,-,11/1/21 9:04,9/9/21 14:14
36,Block 5999,none,universal,Not-Lab,any,any,any,any,10.190.47.101;10.190.47.102,any,any,TCP 5999,Deny,none,Traffic log sent at session end,0,-,-,-,-,9/9/21 14:14,9/9/21 14:14
37,block from corp,none,universal,any,any,any,any,any,10.190.243.3,any,any,application-default,Deny,none,Traffic log sent at session end,2967,8/15/22 3:14,9/26/21 15:47,-,-,9/9/21 14:14,9/9/21 14:14
